Epoch: 1 Learning rate: 1.000
Type: Chunk,cost: 2.324981, total cost: 32.743580
Type: Pos,cost: 3.043849, total cost: 156.917542
Type: Chunk,cost: 1.807097, total cost: 276.089655
Type: Pos,cost: 3.069097, total cost: 395.483344
Type: Chunk,cost: 1.810663, total cost: 513.555302
Type: Chunk,cost: 1.887564, total cost: 640.393080
Type: Pos,cost: 2.981273, total cost: 760.503932
Type: Chunk,cost: 1.924128, total cost: 877.319592
Type: Chunk,cost: 1.732297, total cost: 996.959670
Type: Chunk,cost: 1.700074, total cost: 1118.316665
Epoch: 1 Training mean loss: 2.414
Epoch: 1 Validation mean loss 2.410
Epoch: 2 Learning rate: 1.000
Type: Chunk,cost: 1.542803, total cost: 22.392453
Type: Pos,cost: 2.721841, total cost: 134.395345
Type: Chunk,cost: 1.396761, total cost: 238.670476
Type: Chunk,cost: 1.258765, total cost: 332.745382
Type: Pos,cost: 2.029108, total cost: 420.389380
Type: Pos,cost: 2.171404, total cost: 498.051226
Type: Chunk,cost: 0.891878, total cost: 568.671098
Type: Chunk,cost: 0.934266, total cost: 633.951877
Type: Pos,cost: 1.667057, total cost: 695.312938
Type: Pos,cost: 1.413906, total cost: 757.841176
Epoch: 2 Training mean loss: 1.600
Epoch: 2 Validation mean loss 2.864
Epoch: 3 Learning rate: 1.000
Type: Chunk,cost: 0.604403, total cost: 10.900908
Type: Pos,cost: 1.432586, total cost: 61.701677
Type: Pos,cost: 1.178050, total cost: 111.256455
Type: Pos,cost: 1.225162, total cost: 154.811994
Type: Pos,cost: 1.211277, total cost: 197.804401
Type: Chunk,cost: 0.705327, total cost: 239.815524
Type: Pos,cost: 0.980739, total cost: 279.407606
Type: Pos,cost: 1.028601, total cost: 321.244377
Type: Pos,cost: 0.914347, total cost: 356.100401
Type: Chunk,cost: 0.391132, total cost: 391.472934
Epoch: 3 Training mean loss: 0.836
Epoch: 3 Validation mean loss 3.092
Epoch: 4 Learning rate: 1.000
Type: Chunk,cost: 0.387095, total cost: 6.917107
Type: Chunk,cost: 0.543615, total cost: 40.766785
Type: Pos,cost: 0.787336, total cost: 70.280208
Type: Chunk,cost: 0.420311, total cost: 99.769722
Type: Pos,cost: 0.854097, total cost: 127.755081
Type: Chunk,cost: 0.574471, total cost: 155.686945
Type: Chunk,cost: 0.373110, total cost: 183.141138
Type: Chunk,cost: 0.446613, total cost: 208.323590
Type: Pos,cost: 0.564015, total cost: 233.342352
Type: Chunk,cost: 0.295380, total cost: 255.665788
Epoch: 4 Training mean loss: 0.548
Epoch: 4 Validation mean loss 3.281
Epoch: 5 Learning rate: 1.000
Type: Chunk,cost: 0.348679, total cost: 5.753548
Type: Chunk,cost: 0.464088, total cost: 28.820639
Type: Chunk,cost: 0.296927, total cost: 50.654708
Type: Chunk,cost: 0.330476, total cost: 72.937232
Type: Pos,cost: 0.469232, total cost: 92.893449
Type: Chunk,cost: 0.537803, total cost: 114.061071
Type: Pos,cost: 0.394897, total cost: 133.101363
Type: Pos,cost: 0.395984, total cost: 152.180051
Type: Pos,cost: 0.368036, total cost: 170.918245
Type: Chunk,cost: 0.251157, total cost: 187.906912
Epoch: 5 Training mean loss: 0.403
Epoch: 5 Validation mean loss 2.704
Epoch: 6 Learning rate: 0.500
Type: Pos,cost: 0.333207, total cost: 4.252578
Type: Pos,cost: 0.402793, total cost: 21.575259
Type: Pos,cost: 0.261002, total cost: 37.799611
Type: Pos,cost: 0.439423, total cost: 57.335958
Type: Chunk,cost: 0.372263, total cost: 72.804784
Type: Chunk,cost: 0.438007, total cost: 88.932647
Type: Chunk,cost: 0.235817, total cost: 104.449597
Type: Pos,cost: 0.241111, total cost: 118.889093
Type: Chunk,cost: 0.300248, total cost: 133.699353
Type: Pos,cost: 0.297829, total cost: 148.363829
Epoch: 6 Training mean loss: 0.320
Epoch: 6 Validation mean loss 3.262
Epoch: 7 Learning rate: 0.250
Type: Pos,cost: 0.243996, total cost: 3.932372
Type: Pos,cost: 0.264924, total cost: 18.479296
Type: Chunk,cost: 0.219057, total cost: 32.520454
Type: Chunk,cost: 0.261748, total cost: 48.121531
Type: Pos,cost: 0.318803, total cost: 62.111294
Type: Pos,cost: 0.277823, total cost: 77.145496
Type: Chunk,cost: 0.210042, total cost: 91.132109
Type: Chunk,cost: 0.337386, total cost: 104.764599
Type: Chunk,cost: 0.291046, total cost: 117.864709
Type: Pos,cost: 0.225540, total cost: 129.970817
Epoch: 7 Training mean loss: 0.280
Epoch: 7 Validation mean loss 3.159
Epoch: 8 Learning rate: 0.125
Type: Pos,cost: 0.207526, total cost: 3.096540
Type: Chunk,cost: 0.300505, total cost: 16.218870
Type: Pos,cost: 0.184675, total cost: 29.034426
Type: Chunk,cost: 0.261632, total cost: 43.063087
Type: Chunk,cost: 0.365185, total cost: 55.797552
Type: Pos,cost: 0.231122, total cost: 69.142055
Type: Chunk,cost: 0.196704, total cost: 81.667910
Type: Pos,cost: 0.263414, total cost: 95.842502
